FinalIDassigned,AlgaeList,Habit,BCG,BCG45,BCG12,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus1,orig.FinalID
Lemnicola,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Lemnicola,
Lemnicola hungarica,Diatom_2012,BN,4,yes,,,,,,,,NM,NAHON,NAHON,DO_30,FB,FB,AM,,PH,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Lemnicola,
Lepocinclis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,EG,,No,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis,Lepocinclis cf spiroides
Lepocinclis acus,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepocinclis ovum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Lepocinclis ,Lepocinclis ovum
Lepocinclis oxyuris,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepocinclis tripteris,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,EG,,No,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis,Lepocinclis tripteris
Lepocinclisiroides,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,EG,,No,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis,Lepocinclis spiroides
Leptolyngbya,SoftAlgae_2012,,0,,,No,NI,high,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya cf foveolarum
Leptolyngbya foveolara,SoftAlgae_2012,,4,yes,,No,NI,high,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya foveolarum
Leptolyngbya granulifera,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya granulifera
Leptolyngbya lagerheimii,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptolyngbya laminosa,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya laminosa
Leptolyngbya nostocorum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya nostocorum
Leptolyngbya notata,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya notata
Leptolyngbya tenuis,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya tenuis
Leptolyngbya tenus,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptolyngbya valderiana,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya valderiana
Leptolyngbyoideae,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnococcus limneticus,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnothrix,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Limnothrix,Limnothrix sp 1
Lindavia antiqua,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobomonas,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Lobomonas,Lobomonas sp 1
Luticola,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola cohnii,Diatom_2012,BN,0,,,,,,,,,MM,NAHON,NAHON,DO_100,BF,Halo,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola dismutica,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola goeppertiana,Diatom_2012,BN,5,yes,,,,,,,,MM,NHHONF,Heterotroph,DO_30,FB,FB,AMPS,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola heufleriana,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola mutica,Diatom_2012,BN,5,yes,,,,,,,,MM,NAHON,NAHON,DO_100,BF,Halo,AM,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola mutica var ventricosa,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola muticoides,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola muticopsis,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola nivalis,Diatom_2012,BN,0,,,,,,,,,MM,,,,BF,Halo,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola saxophila,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,
Luticola stigma,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luticola ventricosa,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyngbya,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya cf aestuarii
Lyngbya aestuarii,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya aestuarii
Lyngbya hieronymusii f robusta,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya hieronymusii f robusta
Lyngbya major,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya major
Lyngbya majuscula,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya majuscula
Lyngbya martensiana,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya martensiana
Lyngbya nigra,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya nigra
Lyngbya stagnina,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya stagnina
Mallomonas,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martyana,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Martyana,
Martyana atomus,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Martyana,
Martyana martyi,Diatom_2012,BN,3,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Martyana,
Mastogloia,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Mastogloiales,Mastogloiaceae,Mastogloia,
Mastogloia calcarea,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mastogloia elliptica,Diatom_2012,BN,3,,,,,,,,,MM,,,,B,Halo,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia,
Mastogloia grevillei,Diatom_2012,BN,2,,yes,,,,,,,MM,,,,FB,FB,,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia,
Mastogloia smithii,Diatom_2012,BN,3,,,,,,,,,MM,,,,B,Halo,BM,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia,
Mastogloia smithii var lacustris,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia,
Mayamaea,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,
Mayamaea agrestis,Diatom_2012,BN,5,yes,,,,,,,,MM,,,,FB,FB,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,
Mayamaea atomus,Diatom_2012,BN,4,yes,,,,,,,,MM,NHHONO,Heterotroph,DO_75,FB,FB,AMPS,,PH,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,
Mayamaea fossalis,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,
Mayamaea fossalis var obsidialis,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,
Mayamaea muraliformis,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,
Mayamaea permitis,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,
Melosira,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melosira varians,Diatom_2012,BN,4,yes,,,,,,,,NM,NHHONF,Heterotroph,DO_50,FB,FB,AM,,E,,,,,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Melosiraceae,Melosira,
Meridion,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Meridion,
Meridion circulare,Diatom_2012,BN,2,,yes,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,,I,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Meridion,
Meridion circulare var constrictum,Diatom_2012,BN,2,,yes,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,,I,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Meridion,
Meridion lineare,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Meridion,
Merismopedia,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia cf convoluta
Merismopedia convoluta,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia convoluta
Merismopedia glauca,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,low,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia glauca
Merismopedia punctata,SoftAlgae_2012,,5,yes,,No,high,high,NI,high,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia punctata
Merismopedia tenuissima,SoftAlgae_2012,,5,yes,,No,NI,high,NRF,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia tenuissima
Merismopedia trolleri,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia,Merismopedia trolleri
Micractinium,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium,Micractinium cf pusillum
Micractinium pusillum,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium,Micractinium pusillum
Microchaete,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Microchaete ,Microchaete cf investiens
Microchaete elongata,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microchaete investiens,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microchaete tenera,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Microchaete,Microchaete tenera
Microcoleus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus,Microcoleus cf codii
Microcoleus californicus,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus,Microcoleus californicus
Microcoleus codii,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus,Microcoleus codii
Microcoleus lacustris,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus,Microcoleus lacustris
Microcoleus subtorulosus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus,Microcoleus subtorulosus
Microcoleus vaginatus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus,Microcoleus vaginatus
Microcostatus,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Microcostatus,
Microcostatus krasskei,Diatom_2012,BN,2,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Microcostatus,
Microcrocis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Microcrocis,Microcrocis cf irregularis
Microcrocis irregularis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Microcrocis,Microcrocis irregularis
Microcystis,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis cf firma
Microcystis aeruginosa,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa
Microcystis firma,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis firma
Microspora,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora,Microspora
Microspora abbreviata,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora,Microspora abbreviata
Microspora amoena,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora,Microspora amoena
Microspora crassior,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microspora pachyderma,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora,Microspora pachyderma
Microspora stagnorum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora,Microspora stagnorum
Microspora tumidula,SoftAlgae_2012,,3,,,No,low,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora,Microspora tumidula
Microspora wittrockii,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora,Microspora wittrockii
Microthamnion,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Pleurastrophyceae,Pleurastrales,Pleurastraceae,Microthamnion,Microthamnion cf kuetzingianum
Microthamnion kuetzingianum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Pleurastrophyceae,Pleurastrales,Pleurastraceae,Microthamnion,Microthamnion kuetzingianum
Mischococcus,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,OC,,No,,,,Heterokontophyta,Xanthophyceae,Mischococcales,Mischococcaceae,Mischococcus,Mischococcus cf confervicola
Mischococcus confervicola,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,OC,,No,,,,Heterokontophyta,Xanthophyceae,Mischococcales,Mischococcaceae,Mischococcus,Mischococcus confervicola
Monomorphina,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,EG,,No,,,,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Monomorphina,Monomorphina cf aenigmatica
Monomorphina aenigmatica,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,EG,,No,,,,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Monomorphina,Monomorphina aenigmatica
Monoraphidium,SoftAlgae_2012,,0,,,No,NI,high,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium,Monoraphidium cf arcuatum
Monoraphidium arcuatum,SoftAlgae_2012,,4,yes,,No,NI,high,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium,Monoraphidium arcuatum
Monoraphidium contortum,SoftAlgae_2012,,4,yes,,No,high,high,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium,Monoraphidium contortum
Monoraphidium griffithii,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoraphidium irregulare,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium,Monoraphidium irregulare
Monoraphidium minutum,SoftAlgae_2012,,5,yes,,No,high,high,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium,Monoraphidium minutum
Monoraphidium obtusum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium,Monoraphidium obtusum
Monoraphidium tortile,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium,Monoraphidium tortile
Mougeotia,SoftAlgae_2012,,3,,,No,,,,,,,,,,,,,CA,,Yes,Yes,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Mougeotia,Mougeotia
Mougeotia calcarea,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,low,,,,,,,,CA,,Yes,Yes,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Mougeotia,Mougeotia calcarea
Mougeotia laevis,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mougeotia robusta,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,Yes,Yes,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Mougeotia,Mougeotia robusta
Muelleria,Diatom_2012,BN,0,,,,,,,,,HM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria,
Muelleria gibbula,Diatom_2012,BN,0,,,,,,,,,HM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria,
Muelleria terrestris,Diatom_2012,BN,3,,,,,,,,,HM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria,
Muriella,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Muriella,Muriella cf terrestris
Muriella terrestris,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Muriella,Muriella terrestris
Navicula,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula absoluta,Diatom_2012,BN,0,,,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula amphiceropsis,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula angusta,Diatom_2012,BN,3,,,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula antonii,Diatom_2012,BN,3,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula aquaeductae,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula arctotenelloides,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula arenaria,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula arvensis,Diatom_2012,BN,3,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula associata,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula aurora,Diatom_2012,BN,1,,yes,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula bahusiensis,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula brasiliana,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula canalis,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula capitatoradiata,Diatom_2012,BN,3,,,,,,,,,MM,NAHON,NAHON,DO_50,FB,FB,AM,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula capitellata,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula cari,Diatom_2012,BN,4,yes,,,,,,,,MM,NALON,NALON,DO_100,FB,FB,BM,,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula caterva,Diatom_2012,BN,3,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula chiarae,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula cincta,Diatom_2012,BN,4,yes,,,,,,,,MM,NAHON,NAHON,DO_50,FB,FB,AM,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula concentrica,Diatom_2012,BN,3,,,,,,,,,MM,,,,F,F,,,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula convexa,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula cryptocephala,Diatom_2012,BN,4,yes,,,,,,,,MM,NAHON,NAHON,DO_50,FB,FB,AM,,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula cryptocephaloides,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula cryptotenella,Diatom_2012,BN,3,,,,,,,,,MM,,,,FB,FB,BM,,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
